Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 1-комнатной квартиры 49,3м², 3/39этаж",Аминьевская,"•до центра 11,5 км",496957₽/м²,1-комнатная,3,39,,,,24500000
"Продажа 3-комнатной квартиры 78,8м², 37/52этаж",Минская,"•до центра 9,5 км",404033₽/м²,,,,,,,31837804
"Продажа 1-комнатной квартиры 52м², 2/22этаж",Университет,"•до центра 9,1 км",548077₽/м²,1-комнатная,2,22,,,,28500000
"Продажа квартиры-студии 25,9м², 17/50этаж",Мичуринский проспект,"•до центра 11,2 км",677500₽/м²,,,,,,,17547250
"Продажа 3-комнатной квартиры 102м², 4/14этаж",Минская,"•до центра 8,8 км",872549₽/м²,3-комнатная,4,14,102м²,42м²,24м²,89000000
"Продажа 1-комнатной квартиры 45м², 10/14этаж",Минская,"•до центра 8,9 км",622222₽/м²,1-комнатная,10,14,45м²,30м²,7м²,28000000
"Продажа 2-комнатной квартиры 69м², 7/14этаж",Минская,"•до центра 8,9 км",579710₽/м²,2-комнатная,7,14,69м²,"35,5м²","11,6м²",40000000
"Продажа 3-комнатной квартиры 140,4м², 21/40этаж",Ломоносовский проспект,"•до центра 8,4 км",544872₽/м²,,,,,,,76500000
"Продажа 2-комнатной квартиры 54,3м², 19/40этаж",Минская,"•до центра 7,2 км",771015₽/м²,2-комнатная,19,40,"54,3м²","32,7м²","5,8м²",41873840
"Продажа 4-комнатной квартиры 149м², 3/18этаж",Университет,"•до центра 8,7 км",585454₽/м²,4-комнатная,3,18,,,,87232705
"Продажа 3-комнатной квартиры 75м², 4/14этаж",Минская,"•до центра 8,8 км",633333₽/м²,3-комнатная,4,14,75м²,"41,6м²",12м²,47500000
"Продажа 3-комнатной квартиры 89,5м², 30/36этаж",Аминьевская,"•до центра 11,5 км",410056₽/м²,,,,,,,36700000
"Продажа 4-комнатной квартиры 192м², 8/47этаж",Ломоносовский проспект,"•до центра 6,8 км",572917₽/м²,,,,,,,110000000
"Продажа 3-комнатной квартиры 122,6м², 6/16этаж",Ломоносовский проспект,•до центра 9 км,561990₽/м²,3-комнатная,6,16,"122,6м²","63,4м²","23,6м²",68900000
"Продажа многокомнатной квартиры 186м², 25/28этаж",Раменки,"•до центра 9,9 км",634409₽/м²,,,,,,,118000000
"Продажа 4-комнатной квартиры 170м², 6/10этаж",Минская,"•до центра 8,3 км",982353₽/м²,4-комнатная,6,10,,,,167000000
"Продажа 3-комнатной квартиры 111м², 9/18этаж",Ломоносовский проспект,•до центра 9 км,387387₽/м²,3-комнатная,9,18,,,,43000000
"Продажа 2-комнатной квартиры 71,7м², 11/24этаж",Аминьевская,"•до центра 11,5 км",404463₽/м²,2-комнатная,11,24,"71,7м²",40м²,25м²,29000000
"Продажа многокомнатной квартиры 156м², 40/51этаж",Раменки,"•до центра 10,5 км",496154₽/м²,,,,,,,77400000
"Продажа 1-комнатной квартиры 49,5м², 26/29этаж",Аминьевская,"•до центра 11,2 км",599731₽/м²,,,,"49,5м²","34,9м²",26 из 29,29686708
"Продажа 3-комнатной квартиры 78,9м², 7/31этаж",Аминьевская,"•до центра 11,5 км",354880₽/м²,3-комнатная,7,31,"78,9м²",50м²,"14,4м²",28000000
"Продажа многокомнатной квартиры 128м², 7/14этаж",Минская,"•до центра 8,8 км",687412₽/м²,5-комнатная,7,14,128м²,83м²,20м²,87988700
"Продажа квартиры-студии 30м², 25/51этаж",Раменки,"•до центра 10,7 км",833333₽/м²,,,,,,,25000000
"Продажа 3-комнатной квартиры 78,8м², 35/52этаж",Минская,"•до центра 9,5 км",403233₽/м²,,,,,,,31774776
"Продажа 1-комнатной квартиры 33м², 9/9этаж",Студенческая,"•до центра 6,6 км",545455₽/м²,,,,,,,18000000
