Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 3-комнатной квартиры 130м², 11/22этаж",Ломоносовский проспект,"•до центра 8,8 км",423077₽/м²,3-комнатная,11,22,130м²,70м²,20м²,55000000
"Продажа 4-комнатной квартиры 106м², 3/10этаж",Аминьевская,"•до центра 11,2 км",646226₽/м²,4-комнатная,3,10,,,,68500000
"Продажа многокомнатной квартиры 136,9м², 8/14этаж",Минская,"•до центра 8,8 км",745069₽/м²,5-комнатная,8,14,"136,9м²","72,7м²",12м²,102000000
"Продажа 2-комнатной квартиры 75м², 7/10этаж",Аминьевская,"•до центра 11,2 км",440000₽/м²,2-комнатная,7,10,75м²,35м²,21м²,33000000
"Продажа 3-комнатной квартиры 118м², 9/18этаж",Раменки,"•до центра 9,7 км",507627₽/м²,3-комнатная,9,18,118м²,75м²,20м²,59900000
"Продажа 3-комнатной квартиры 117,2м², 7/18этаж",Раменки,"•до центра 9,7 км",580205₽/м²,3-комнатная,7,18,"117,2м²","58,6м²","16,8м²",68000000
"Продажа 2-комнатной квартиры 80м², 14/21этаж",Раменки,"•до центра 9,8 км",748750₽/м²,2-комнатная,14,21,80м²,36м²,"14,8м²",59900000
"Продажа 2-комнатной квартиры 82,9м², 3/14этаж",Раменки,"•до центра 9,9 км",518697₽/м²,2-комнатная,3,14,"82,9м²","36,5м²","26,3м²",43000000
"Продажа 3-комнатной квартиры 109м², 34/43этаж",Минская,"•до центра 8,5 км",431193₽/м²,,,,,,,47000000
"Продажа 1-комнатной квартиры 38,5м², 10/11этаж",Аминьевская,"•до центра 11,3 км",590663₽/м²,1-комнатная,10,11,,,,22740544
"Продажа 3-комнатной квартиры 115,1м², 33/43этаж",Минская,"•до центра 8,5 км",407385₽/м²,,,,,,,46890000
"Продажа многокомнатной квартиры 219м², 31/43этаж",Ломоносовский проспект,"•до центра 8,5 км",593607₽/м²,,,,219м²,18м²,31 из 43,130000000
"Продажа 4-комнатной квартиры 97м², 7/14этаж",Минская,"•до центра 8,8 км",618557₽/м²,4-комнатная,7,14,97м²,65м²,15м²,60000000
"Продажа 1-комнатной квартиры 40,7м², 3/11этаж",Раменки,•до центра 10 км,540295₽/м²,1-комнатная,3,11,"40,7м²","16,6м²",11м²,21990000
"Продажа 4-комнатной квартиры 231м², 8/53этаж",Ломоносовский проспект,"•до центра 6,8 км",670996₽/м²,,,,,,,155000000
"Продажа 4-комнатной квартиры 126м², 11/13этаж",Раменки,"•до центра 9,9 км",554762₽/м²,4-комнатная,11,13,126м²,54м²,20м²,69900000
"Продажа 3-комнатной квартиры 133,5м², 51/52этаж",Минская,"•до центра 9,5 км",427965₽/м²,,,,,,,57133300
"Продажа 3-комнатной квартиры 77м², 9/14этаж",Минская,"•до центра 8,8 км",551948₽/м²,3-комнатная,9,14,77м²,42м²,12м²,42500000
"Продажа 2-комнатной квартиры 49,9м², 2/35этаж",Аминьевская,"•до центра 11,5 км",701403₽/м²,2-комнатная,2,35,"49,9м²",38м²,9м²,35000000
"Продажа 4-комнатной квартиры 164м², 46/53этаж",Ломоносовский проспект,"•до центра 6,8 км",792683₽/м²,апартаменты,,,,,,130000000
"Продажа 3-комнатной квартиры 81м², 11/15этаж",Раменки,"•до центра 9,5 км",555556₽/м²,3-комнатная,11,15,81м²,30м²,25м²,45000000
"Продажа 2-комнатной квартиры 83,9м², 26/28этаж",Раменки,"•до центра 9,9 км",548272₽/м²,,,,,,,46000000
"Продажа 2-комнатной квартиры 70м², 2/17этаж",Раменки,"•до центра 9,5 км",357143₽/м²,2-комнатная,2,17,70м²,37м²,13м²,25000000
"Продажа 2-комнатной квартиры 67,5м², 20/32этаж",Минская,"•до центра 7,2 км",852017₽/м²,2-комнатная,20,32,"67,5м²","39,6м²","6,7м²",57511140
"Продажа 3-комнатной квартиры 69м², 9/14этаж",Минская,"•до центра 8,8 км",811594₽/м²,3-комнатная,9,14,,,,56000000
"Продажа 4-комнатной квартиры 132м², 22/28этаж",Раменки,•до центра 10 км,522720₽/м²,,,,132м²,79м²,22 из 28,68999000
"Продажа 2-комнатной квартиры 49,4м², 17/56этаж",Минская,"•до центра 8,8 км",414980₽/м²,2-комнатная,17,56,"49,4м²","33,1м²",7м²,20500000
"Продажа многокомнатной квартиры 136м², 4/14этаж",Минская,"•до центра 8,8 км",661765₽/м²,5-комнатная,4,14,136м²,73м²,12м²,90000000
"Продажа 3-комнатной квартиры 79,6м², 7/52этаж",Минская,"•до центра 9,5 км",377092₽/м²,3-комнатная,7,52,"79,6м²","56,5м²","6,1м²",30016515
"Продажа 2-комнатной квартиры 62,6м², 24/28этаж",Раменки,"•до центра 9,9 км",527157₽/м²,,,,,,,33000000
"Продажа многокомнатной квартиры 455м², 14/19этаж",Университет,"•до центра 8,9 км",653846₽/м²,6-комнатная,14,19,455м²,350м²,50м²,297500000
"Продажа многокомнатной квартиры 127,3м², 11/14этаж",Минская,"•до центра 8,8 км",683425₽/м²,5-комнатная,11,14,"127,3м²",80м²,8м²,87000000
"Продажа 1-комнатной квартиры 48м², 9/21этаж",Раменки,"•до центра 9,9 км",625000₽/м²,1-комнатная,9,21,48м²,21м²,"12,7м²",30000000
"Продажа 1-комнатной квартиры 65м², 3/15этаж",Ломоносовский проспект,"•до центра 8,3 км",1000000₽/м²,1-комнатная,3,15,65м²,19м²,27м²,65000000
"Продажа квартиры-студии 30м², 22/41этаж",Аминьевская,"•до центра 11,1 км",510000₽/м²,,,,30м²,18м²,22 из 41,15300000
"Продажа квартиры со свободной планировкой 71,2м², 8/14этаж",Минская,•до центра 9 км,589888₽/м²,,,,,,,42000000
"Продажа 3-комнатной квартиры 64м², 20/31этаж",Аминьевская,"•до центра 11,5 км",557813₽/м²,3-комнатная,20,31,64м²,38м²,21м²,35700000
"Продажа 4-комнатной квартиры 131м², 2/14этаж",Минская,"•до центра 8,8 км",648855₽/м²,4-комнатная,2,14,131м²,80м²,15м²,85000000
"Продажа 2-комнатной квартиры 42,6м², 4/5этаж",Ломоносовский проспект,"•до центра 8,3 км",394366₽/м²,2-комнатная,4,5,"42,6м²",27м²,6м²,16800000
"Продажа 2-комнатной квартиры 72м², 7/25этаж",Аминьевская,"•до центра 11,5 км",381944₽/м²,2-комнатная,7,25,72м²,36м²,16м²,27500000
"Продажа 3-комнатной квартиры 130м², 22/53этаж",Ломоносовский проспект,"•до центра 6,8 км",769231₽/м²,апартаменты,,,,,,100000000
"Продажа 4-комнатной квартиры 127,1м², 45/50этаж",Мичуринский проспект,"•до центра 11,2 км",504700₽/м²,,,,,,,64147370
"Продажа 2-комнатной квартиры 73м², 15/25этаж",Аминьевская,"•до центра 11,7 км",327397₽/м²,2-комнатная,15,25,73м²,"34,5м²",17м²,23900000
"Продажа 4-комнатной квартиры 139м², 11/18этаж",Ломоносовский проспект,•до центра 9 км,539568₽/м²,4-комнатная,11,18,139м²,100м²,12м²,75000000
"Продажа 3-комнатной квартиры 91,9м², 10/14этаж",Минская,"•до центра 8,7 км",734059₽/м²,3-комнатная,10,14,"91,9м²","39,1м²","25,7м²",67460000
"Продажа 3-комнатной квартиры 106,9м², 6/28этаж",Раменки,"•до центра 9,9 км",458372₽/м²,3-комнатная,6,28,,,,49000000
"Продажа 4-комнатной квартиры 96м², 31/37этаж",Аминьевская,"•до центра 11,1 км",356250₽/м²,,,,,,,34200000
"Продажа 2-комнатной квартиры 73,5м², 19/21этаж",Раменки,"•до центра 9,8 км",598639₽/м²,2-комнатная,19,21,"73,5м²","39,8м²","11,5м²",44000000
"Продажа многокомнатной квартиры 266м², 7/43этаж",Минская,"•до центра 8,2 км",676692₽/м²,5-комнатная,7,43,,,,180000000
"Продажа 2-комнатной квартиры 41,1м², 27/41этаж",Аминьевская,"•до центра 11,1 км",433090₽/м²,,,,,,,17800000
"Продажа 3-комнатной квартиры 63,8м², 2/41этаж",Киевская,"•до центра 5,6 км",697000₽/м²,3-комнатная,2,41,,,,44440720
"Продажа многокомнатной квартиры 208м², 2/14этаж",Минская,"•до центра 8,8 км",619712₽/м²,6-комнатная,2,14,,,,128900000
"Продажа 4-комнатной квартиры 131м², 21/39этаж",Минская,"•до центра 8,5 км",648855₽/м²,,,,,,,85000000
"Продажа 4-комнатной квартиры 142м², 11/22этаж",Аминьевская,"•до центра 11,3 км",415493₽/м²,4-комнатная,11,22,,,,59000000
"Продажа многокомнатной квартиры 197,8м², 12/39этаж",Минская,"•до центра 8,5 км",1011122₽/м²,5-комнатная,12,39,,,,200000000
"Продажа 4-комнатной квартиры 139м², 11/18этаж",Ломоносовский проспект,•до центра 9 км,539568₽/м²,4-комнатная,11,18,139м²,100м²,12м²,75000000
"Продажа 3-комнатной квартиры 80м², 5/18этаж",Раменки,"•до центра 9,8 км",531250₽/м²,3-комнатная,5,18,80м²,39м²,17м²,42500000
"Продажа 2-комнатной квартиры 70,2м², 3/14этаж",Минская,"•до центра 8,8 км",541311₽/м²,2-комнатная,3,14,"70,2м²",35м²,20м²,38000000
"Продажа квартиры-студии 40,5м², 7/39этаж",Аминьевская,"•до центра 11,5 км",441975₽/м²,,,,,,,17900000
"Продажа 4-комнатной квартиры 128м², 11/19этаж",Университет,"•до центра 8,8 км",1070313₽/м²,4-комнатная,11,19,,,,137000000
"Продажа 4-комнатной квартиры 131м², 2/14этаж",Минская,"•до центра 8,8 км",648855₽/м²,4-комнатная,2,14,131м²,80м²,13м²,85000000
"Продажа 3-комнатной квартиры 90м², 2/19этаж",Университет,"•до центра 8,8 км",866667₽/м²,3-комнатная,2,19,,,,78000000
"Продажа 2-комнатной квартиры 51м², 10/14этаж",Раменки,•до центра 10 км,460784₽/м²,2-комнатная,10,14,,,,23500000
"Продажа 4-комнатной квартиры 176м², 4/7этаж",Минская,"•до центра 8,5 км",994318₽/м²,4-комнатная,4,7,176м²,100м²,22м²,175000000
"Продажа 4-комнатной квартиры 137,2м², 6/14этаж",Минская,"•до центра 8,8 км",676385₽/м²,4-комнатная,6,14,"137,2м²",74м²,"12,9м²",92800000
"Продажа 2-комнатной квартиры 51,2м², 24/52этаж",Минская,"•до центра 9,5 км",449014₽/м²,,,,,,,22989496
"Продажа 1-комнатной квартиры 47м², 3/27этаж",Аминьевская,"•до центра 11,3 км",612766₽/м²,1-комнатная,3,27,47м²,15м²,18м²,28800000
"Продажа 3-комнатной квартиры 98м², 14/53этаж",Ломоносовский проспект,"•до центра 6,8 км",617347₽/м²,,,,98м²,50м²,28м²,60500000
"Продажа 2-комнатной квартиры 67,2м², 2/49этаж",Мичуринский проспект,"•до центра 11,3 км",442200₽/м²,2-комнатная,2,49,"67,2м²",27м²,"19,8м²",29715840
"Продажа 3-комнатной квартиры 60м², 7/8этаж",Ломоносовский проспект,"•до центра 7,8 км",404167₽/м²,3-комнатная,7,8,60м²,"39,1м²",8м²,24250000
"Продажа квартиры со свободной планировкой 93,4м², 3/13этаж",Лужники,"•до центра 6,1 км",974304₽/м²,,,,,,,91000000
"Продажа 4-комнатной квартиры 136,9м², 8/12этаж",Минская,"•до центра 8,8 км",745069₽/м²,4-комнатная,8,12,"136,9м²","73,9м²","12,8м²",102000000
"Продажа 3-комнатной квартиры 80,2м², 41/52этаж",Минская,"•до центра 9,5 км",433508₽/м²,,,,,,,34767381
"Продажа квартиры-студии 27,3м², 26/29этаж",Аминьевская,"•до центра 11,2 км",676918₽/м²,,,,"27,3м²","14,8м²",26 из 29,18479864
"Продажа 3-комнатной квартиры 79м², 44/52этаж",Минская,"•до центра 9,5 км",419344₽/м²,,,,,,,33128193
"Продажа многокомнатной квартиры 137м², 8/14этаж",Минская,"•до центра 8,8 км",744526₽/м²,5-комнатная,8,14,,,,102000000
"Продажа 3-комнатной квартиры 79м², 17/51этаж",Мичуринский проспект,"•до центра 10,7 км",737975₽/м²,3-комнатная,17,51,79м²,40м²,20м²,58300000
"Продажа многокомнатной квартиры 91,8м², 4/14этаж",Минская,•до центра 9 км,593682₽/м²,6-комнатная,4,14,,,,54500000
"Продажа 4-комнатной квартиры 107м², 12/52этаж",Мичуринский проспект,"•до центра 10,7 км",606542₽/м²,4-комнатная,12,52,107м²,73м²,20м²,64900000
"Продажа 4-комнатной квартиры 126,4м², 11/13этаж",Раменки,"•до центра 9,9 км",553006₽/м²,4-комнатная,11,13,"126,4м²",67м²,"25,6м²",69900000
"Продажа 3-комнатной квартиры 83,3м², 5/35этаж",Аминьевская,"•до центра 11,5 км",378151₽/м²,3-комнатная,5,35,"83,3м²",45м²,18м²,31500000
"Продажа 3-комнатной квартиры 86,2м², 14/33этаж",Аминьевская,"•до центра 11,5 км",614849₽/м²,3-комнатная,14,33,"86,2м²","51,2м²",30м²,53000000
"Продажа 3-комнатной квартиры 72м², 11/29этаж",Аминьевская,"•до центра 11,5 км",437486₽/м²,3-комнатная,11,29,72м²,34м²,16м²,31499000
"Продажа квартиры со свободной планировкой 83,9м², 18/35этаж",Аминьевская,"•до центра 11,5 км",399285₽/м²,,,,,,,33500000
"Продажа 2-комнатной квартиры 63,3м², 30/41этаж",Киевская,"•до центра 5,6 км",688000₽/м²,,,,,,,43516000
"Продажа 3-комнатной квартиры 140м², 10/53этаж",Ломоносовский проспект,"•до центра 6,8 км",606429₽/м²,,,,140м²,90м²,20м²,84900000
"Продажа 3-комнатной квартиры 63,3м², 15/28этаж",Раменки,"•до центра 9,9 км",525276₽/м²,3-комнатная,15,28,"63,3м²","33,2м²","15,4м²",33250000
"Продажа 4-комнатной квартиры 151м², 25/33этаж",Ломоносовский проспект,"•до центра 6,8 км",708609₽/м²,апартаменты,,,151м²,12м²,25 из 33,107000000
"Продажа 2-комнатной квартиры 68,9м², 7/14этаж",Минская,"•до центра 8,9 км",566023₽/м²,2-комнатная,7,14,"68,9м²","35,5м²","11,5м²",38999000
"Продажа многокомнатной квартиры 216,6м², 20/38этаж",Минская,"•до центра 8,5 км",669437₽/м²,5-комнатная,20,38,,,,145000000
"Продажа 1-комнатной квартиры 49,2м², 3/50этаж",Мичуринский проспект,"•до центра 11,2 км",472100₽/м²,1-комнатная,3,50,"49,2м²",14м²,"17,8м²",23227320
"Продажа 3-комнатной квартиры 80м², 5/17этаж",Студенческая,"•до центра 6,6 км",587500₽/м²,3-комнатная,5,17,80м²,45м²,28м²,47000000
"Продажа многокомнатной квартиры 215м², 24/24этаж",Мичуринский проспект,•до центра 11 км,600000₽/м²,,,,,,,129000000
"Продажа 2-комнатной квартиры 71,8м², 2/49этаж",Мичуринский проспект,"•до центра 11,3 км",431100₽/м²,2-комнатная,2,49,"71,8м²","26,8м²","27,8м²",30952980
"Продажа 1-комнатной квартиры 40м², 3/17этаж",Мичуринский проспект,"•до центра 10,6 км",383750₽/м²,1-комнатная,3,17,40м²,19м²,8м²,15350000
"Продажа 1-комнатной квартиры 44,6м², 8/14этаж",Минская,•до центра 9 км,580045₽/м²,1-комнатная,8,14,"44,6м²","13,8м²","21,4м²",25870000
"Продажа 1-комнатной квартиры 48,3м², 25/31этаж",Аминьевская,"•до центра 11,5 км",538302₽/м²,,,,,,,26000000
"Продажа 4-комнатной квартиры 197,5м², 1/5этаж",Минская,"•до центра 8,6 км",650904₽/м²,4-комнатная,1,5,,,,128553460
"Продажа 4-комнатной квартиры 200м², 1/15этаж",Минская,"•до центра 8,6 км",545000₽/м²,4-комнатная,1,15,200м²,150м²,15м²,109000000
"Продажа 4-комнатной квартиры 148,4м², 16/18этаж",Аминьевская,"•до центра 11,3 км",434973₽/м²,4-комнатная,16,18,"148,4м²","81,5м²",20м²,64550000
"Продажа 1-комнатной квартиры 49,6м², 17/50этаж",Мичуринский проспект,"•до центра 11,2 км",548700₽/м²,1-комнатная,17,50,"49,6м²","14,3м²",18м²,27215520
"Продажа 1-комнатной квартиры 47,7м², 34/49этаж",Мичуринский проспект,"•до центра 11,3 км",540600₽/м²,,,,,,,25786620
"Продажа 2-комнатной квартиры 69м², 7/14этаж",Минская,"•до центра 8,9 км",579710₽/м²,2-комнатная,7,14,69м²,36м²,"11,5м²",40000000
"Продажа 2-комнатной квартиры 45,3м², 4/8этаж",Ломоносовский проспект,"•до центра 7,7 км",440397₽/м²,2-комнатная,4,8,,,,19950000
"Продажа 3-комнатной квартиры 102м², 2/6этаж",Минская,"•до центра 8,4 км",965686₽/м²,3-комнатная,2,6,,,,98500000
"Продажа 3-комнатной квартиры 94,8м², 23/23этаж",Киевская,"•до центра 6,2 км",348101₽/м²,,,,,,,33000000
"Продажа многокомнатной квартиры 180м², 18/22этаж",Минская,"•до центра 6,9 км",443889₽/м²,5-комнатная,18,22,180м²,160м²,15м²,79900000
"Продажа 1-комнатной квартиры 35м², 12/15этаж",Студенческая,"•до центра 6,6 км",442857₽/м²,1-комнатная,12,15,,,,15500000
"Продажа 4-комнатной квартиры 91,1м², 3/13этаж",Ломоносовский проспект,"•до центра 8,6 км",866630₽/м²,4-комнатная,3,13,"91,1м²","58,1м²",10м²,78950000
"Продажа квартиры со свободной планировкой 81м², 6/14этаж",Минская,"•до центра 8,8 км",567284₽/м²,,,,,,,45950000
"Продажа 4-комнатной квартиры 107,3м², 17/52этаж",Минская,"•до центра 9,5 км",410599₽/м²,4-комнатная,17,52,"107,3м²","70,9м²","5,7м²",44057242
"Продажа многокомнатной квартиры 137,3м², 41/56этаж",Минская,"•до центра 9,4 км",396473₽/м²,,,,,,,54435763
"Продажа 4-комнатной квартиры 149,7м², 2/24этаж",Минская,"•до центра 7,9 км",768203₽/м²,4-комнатная,2,24,"149,7м²","91,2м²","16,3м²",115000000
"Продажа 3-комнатной квартиры 140м², 11/16этаж",Ломоносовский проспект,"•до центра 9,1 км",578571₽/м²,3-комнатная,11,16,140м²,90м²,10м²,81000000
"Продажа квартиры со свободной планировкой 960м², 17/17этаж",Ломоносовский проспект,"•до центра 7,5 км",273018₽/м²,,,,960м²,506м²,17 из 17,262096815
"Продажа многокомнатной квартиры 594м², 13/13этаж",Лужники,"•до центра 6,1 км",1338712₽/м²,,,,594м²,40м²,13 из 13,795194974
"Продажа 4-комнатной квартиры 101,1м², 21/22этаж",Раменки,"•до центра 9,8 км",375865₽/м²,,,,,,,37999999
"Продажа 1-комнатной квартиры 49,6м², 9/50этаж",Мичуринский проспект,"•до центра 11,2 км",487100₽/м²,1-комнатная,9,50,"49,6м²","14,3м²",18м²,24160160
"Продажа 2-комнатной квартиры 53,8м², 3/17этаж",Раменки,"•до центра 9,8 км",327138₽/м²,2-комнатная,3,17,"53,8м²",30м²,"8,4м²",17600000
"Продажа 3-комнатной квартиры 76м², 7/17этаж",Раменки,"•до центра 9,2 км",347368₽/м²,3-комнатная,7,17,76м²,46м²,11м²,26400000
"Продажа многокомнатной квартиры 427,5м², 9/9этаж",Ломоносовский проспект,"•до центра 7,2 км",2000000₽/м²,,,,,,,855000000
"Продажа 3-комнатной квартиры 140м², 10/32этаж",Ломоносовский проспект,"•до центра 6,8 км",607143₽/м²,,,,,,,85000000
"Продажа многокомнатной квартиры 137м², 8/13этаж",Минская,"•до центра 8,8 км",744526₽/м²,5-комнатная,8,13,,,,102000000
"Продажа квартиры-студии 29,8м², 11/29этаж",Аминьевская,"•до центра 11,2 км",597230₽/м²,,,,,,,17797458
"Продажа 4-комнатной квартиры 100м², 2/14этаж",Минская,"•до центра 8,8 км",529000₽/м²,4-комнатная,2,14,100м²,74м²,21м²,52900000
"Продажа 4-комнатной квартиры 145м², 3/38этаж",Минская,"•до центра 8,5 км",406897₽/м²,4-комнатная,3,38,145м²,90м²,15м²,59000000
"Продажа многокомнатной квартиры 744м², 13/13этаж",Лужники,"•до центра 6,1 км",1209508₽/м²,,,,,,,899874220
"Продажа 2-комнатной квартиры 38,4м², 3/41этаж",Киевская,"•до центра 5,6 км",710500₽/м²,2-комнатная,3,41,,,,27290305
"Продажа 3-комнатной квартиры 163м², 47/54этаж",Ломоносовский проспект,"•до центра 6,8 км",1153374₽/м²,апартаменты,,,,,,188000000
"Продажа 4-комнатной квартиры 195м², 3/47этаж",Ломоносовский проспект,"•до центра 8,5 км",651282₽/м²,4-комнатная,3,47,195м²,150м²,20м²,127000000
"Продажа 4-комнатной квартиры 110,9м², 31/56этаж",Минская,"•до центра 9,4 км",396580₽/м²,,,,,,,43980699
"Продажа 4-комнатной квартиры 145м², 25/43этаж",Ломоносовский проспект,"•до центра 8,5 км",633262₽/м²,,,,,,,91822982
"Продажа 2-комнатной квартиры 57,8м², 12/17этаж",Раменки,"•до центра 9,5 км",449654₽/м²,2-комнатная,12,17,"57,8м²","36,6м²",8м²,25990000
"Продажа 2-комнатной квартиры 73,3м², 20/49этаж",Мичуринский проспект,"•до центра 11,3 км",471100₽/м²,2-комнатная,20,49,"73,3м²","27,4м²","28,4м²",34531630
"Продажа 2-комнатной квартиры 51,7м², 11/25этаж",Аминьевская,"•до центра 11,2 км",628627₽/м²,2-комнатная,11,25,"51,7м²",31м²,5м²,32500000
"Продажа 3-комнатной квартиры 130м², 22/53этаж",Ломоносовский проспект,"•до центра 6,8 км",769231₽/м²,апартаменты,,,,,,100000000
"Продажа 4-комнатной квартиры 125,7м², 11/14этаж",Минская,"•до центра 8,8 км",801034₽/м²,4-комнатная,11,14,"125,7м²","55,3м²","33,6м²",100690000
"Продажа 4-комнатной квартиры 123,3м², 39/49этаж",Мичуринский проспект,"•до центра 11,3 км",462000₽/м²,,,,,,,56964600
"Продажа 3-комнатной квартиры 72,9м², 1/17этаж",Мичуринский проспект,"•до центра 10,7 км",315501₽/м²,3-комнатная,1,17,"72,9м²","44,3м²",10м²,23000000
"Продажа 3-комнатной квартиры 79,7м², 16/52этаж",Минская,"•до центра 9,5 км",429970₽/м²,3-комнатная,16,52,"79,7м²",56м²,"6,8м²",34268605
"Продажа 3-комнатной квартиры 84м², 44/56этаж",Раменки,"•до центра 10,5 км",678571₽/м²,,,,,,,57000000
"Продажа многокомнатной квартиры 238,3м², 2/6этаж",Минская,"•до центра 8,4 км",1100000₽/м²,5-комнатная,2,6,,,,262130000
"Продажа 3-комнатной квартиры 81,1м², 46/52этаж",Минская,"•до центра 9,5 км",435373₽/м²,,,,,,,35308782
"Продажа 3-комнатной квартиры 76,1м², 16/17этаж",Раменки,"•до центра 9,2 км",354796₽/м²,3-комнатная,16,17,"76,1м²","47,7м²",10м²,27000000
"Продажа 1-комнатной квартиры 59,1м², 4/12этаж",Минская,"•до центра 7,4 км",800804₽/м²,1-комнатная,4,12,"59,1м²",28м²,"4,4м²",47327537
"Продажа 3-комнатной квартиры 76м², 15/51этаж",Мичуринский проспект,"•до центра 10,7 км",776316₽/м²,3-комнатная,15,51,,,,59000000
"Продажа 3-комнатной квартиры 69м², 10/14этаж",Минская,"•до центра 8,9 км",543478₽/м²,3-комнатная,10,14,69м²,30м²,25м²,37500000
"Продажа 3-комнатной квартиры 84,5м², 48/52этаж",Раменки,"•до центра 10,5 км",485207₽/м²,,,,,,,41000000
"Продажа многокомнатной квартиры 124м², 5/21этаж",Раменки,"•до центра 9,7 км",555887₽/м²,5-комнатная,5,21,124м²,62м²,"32,5м²",68930000
"Продажа 4-комнатной квартиры 115м², 11/17этаж",Раменки,"•до центра 9,4 км",417391₽/м²,4-комнатная,11,17,115м²,57м²,30м²,48000000
"Продажа 3-комнатной квартиры 77,8м², 21/21этаж",Раменки,"•до центра 9,9 км",552699₽/м²,,,,,,,43000000
"Продажа квартиры-студии 25,6м², 4/50этаж",Мичуринский проспект,"•до центра 11,2 км",656700₽/м²,,,,,,,16811520
"Продажа 4-комнатной квартиры 81,4м², 4/40этаж",Аминьевская,"•до центра 11,5 км",576167₽/м²,4-комнатная,4,40,"81,4м²","59,6м²",10м²,46900000
"Продажа 3-комнатной квартиры 108м², 30/34этаж",Ломоносовский проспект,"•до центра 6,8 км",740648₽/м²,апартаменты,,,108м²,15м²,30 из 34,79990000
"Продажа 2-комнатной квартиры 70,2м², 28/32этаж",Мичуринский проспект,"•до центра 11,2 км",528100₽/м²,,,,,,,37072620
"Продажа 4-комнатной квартиры 108,6м², 44/52этаж",Минская,"•до центра 9,5 км",424783₽/м²,,,,,,,46131403
"Продажа квартиры со свободной планировкой 416м², 4/7этаж",Минская,"•до центра 8,4 км",1821027₽/м²,,,,,,,757547175
"Продажа 4-комнатной квартиры 140м², 31/48этаж",Ломоносовский проспект,"•до центра 8,5 км",542857₽/м²,,,,140м²,89м²,31 из 48,76000000
"Продажа 2-комнатной квартиры 68,7м², 12/13этаж",Минская,"•до центра 8,9 км",620087₽/м²,2-комнатная,12,13,"68,7м²","25,1м²","22,7м²",42600000
"Продажа 3-комнатной квартиры 72м², 30/56этаж",Минская,"•до центра 9,4 км",489475₽/м²,,,,,,,35242210
"Продажа 3-комнатной квартиры 118м², 9/32этаж",Раменки,"•до центра 9,7 км",507627₽/м²,3-комнатная,9,32,,,,59900000
"Продажа 4-комнатной квартиры 107м², 6/13этаж",Раменки,"•до центра 9,9 км",453168₽/м²,4-комнатная,6,13,107м²,67м²,7м²,48489000
"Продажа 3-комнатной квартиры 79м², 12/14этаж",Мичуринский проспект,"•до центра 11,4 км",417722₽/м²,3-комнатная,12,14,79м²,46м²,10м²,33000000
"Продажа 4-комнатной квартиры 132,3м², 2/5этаж",Раменки,"•до центра 9,9 км",445956₽/м²,4-комнатная,2,5,"132,3м²","77,4м²","18,9м²",59000000
"Продажа 3-комнатной квартиры 76,7м², 13/41этаж",Кутузовская,"•до центра 5,7 км",670000₽/м²,3-комнатная,13,41,,,,51362200
"Продажа 3-комнатной квартиры 95,3м², 13/14этаж",Минская,"•до центра 8,8 км",667891₽/м²,3-комнатная,13,14,"95,3м²",52м²,35м²,63650000
"Продажа 2-комнатной квартиры 49,6м², 29/56этаж",Минская,"•до центра 9,4 км",493540₽/м²,,,,,,,24479560
"Продажа 1-комнатной квартиры 37м², 8/28этаж",Раменки,"•до центра 9,9 км",604918₽/м²,1-комнатная,8,28,,,,22381966
"Продажа 3-комнатной квартиры 90м², 7/18этаж",Университет,"•до центра 8,9 км",833333₽/м²,3-комнатная,7,18,90м²,52м²,10м²,75000000
"Продажа 2-комнатной квартиры 72,5м², 24/49этаж",Мичуринский проспект,"•до центра 11,3 км",533600₽/м²,,,,,,,38686000
"Продажа 2-комнатной квартиры 49,2м², 12/14этаж",Минская,"•до центра 8,8 км",668699₽/м²,2-комнатная,12,14,,,,32900000
"Продажа 2-комнатной квартиры 60м², 16/28этаж",Раменки,•до центра 10 км,547500₽/м²,2-комнатная,16,28,60м²,28м²,"11,3м²",32850000
"Продажа 1-комнатной квартиры 49м², 16/23этаж",Раменки,"•до центра 9,9 км",571429₽/м²,1-комнатная,16,23,49м²,22м²,14м²,28000000
"Продажа квартиры-студии 29,4м², 4/12этаж",Минская,"•до центра 7,4 км",892358₽/м²,,,,,,,26226416
"Продажа 3-комнатной квартиры 67м², 9/14этаж",Минская,"•до центра 8,9 км",559701₽/м²,3-комнатная,9,14,67м²,46м²,6м²,37500000
"Продажа 3-комнатной квартиры 120м², 20/44этаж",Минская,"•до центра 8,5 км",633333₽/м²,3-комнатная,20,44,,,,76000000
"Продажа 4-комнатной квартиры 191м², 8/9этаж",Ломоносовский проспект,"•до центра 7,2 км",1550000₽/м²,4-комнатная,8,9,,,,296050000
"Продажа многокомнатной квартиры 123,2м², 17/28этаж",Раменки,•до центра 10 км,615473₽/м²,5-комнатная,17,28,"123,2м²","73,1м²","18,9м²",75826330
"Продажа 2-комнатной квартиры 90м², 13/21этаж",Раменки,"•до центра 9,8 км",630000₽/м²,2-комнатная,13,21,90м²,40м²,15м²,56700000
